field,value,label
Pct,1,001
Pct,5,005
Pct,6,006
Pct,7,007
Pct,9,009
Pct,10,010
Pct,13,013
Pct,14,014
Pct,17,017
Pct,18,018
Pct,19,019
Pct,20,020
Pct,22,022
Pct,23,023
Pct,24,024
Pct,25,025
Pct,26,026
Pct,28,028
Pct,30,030
Pct,32,032
Pct,33,033
Pct,34,034
Pct,40,040
Pct,41,041
Pct,42,042
Pct,43,043
Pct,44,044
Pct,45,045
Pct,46,046
Pct,47,047
Pct,48,048
Pct,49,049
Pct,50,050
Pct,52,052
Pct,60,060
Pct,61,061
Pct,62,062
Pct,63,063
Pct,66,066
Pct,67,067
Pct,68,068
Pct,69,069
Pct,70,070
Pct,71,071
Pct,72,072
Pct,73,073
Pct,75,075
Pct,76,076
Pct,77,077
Pct,78,078
Pct,79,079
Pct,81,081
Pct,83,083
Pct,84,084
Pct,88,088
Pct,90,090
Pct,94,094
Pct,100,100
Pct,101,101
Pct,102,102
Pct,103,103
Pct,104,104
Pct,105,105
Pct,106,106
Pct,107,107
Pct,108,108
Pct,109,109
Pct,110,110
Pct,111,111
Pct,112,112
Pct,113,113
Pct,114,114
Pct,115,115
Pct,120,120
Pct,122,122
Pct,123,123
inout,I,INSIDE
inout,O,OUTSIDE
trhsloc, ,NEITHER
trhsloc,H,HOUSING
trhsloc,T,TRANSIT
typeofid,O,OTHER
typeofid,P,PHOTO
typeofid,R,REFUSED
typeofid,V,VERBAL
explnstp,N,NO
explnstp,Y,YES
othpers,N,NO
othpers,Y,YES
arstmade,N,NO
arstmade,Y,YES
sumissue,N,NO
sumissue,Y,YES
offunif,N,NO
offunif,Y,YES
officrid, ,NOT LISTED
officrid,0,NO
officrid,I,ID
frisked,N,NO
frisked,Y,YES
searched,N,NO
searched,Y,YES
contrabn,N,NO
contrabn,Y,YES
adtlrept,N,NO
adtlrept,Y,YES
pistol,N,NO
pistol,Y,YES
riflshot,N,NO
riflshot,Y,YES
asltweap,N,NO
asltweap,Y,YES
knifcuti,N,NO
knifcuti,Y,YES
machgun,N,NO
machgun,Y,YES
othrweap,N,NO
othrweap,Y,YES
pf_hands,N,NO
pf_hands,Y,YES
pf_wall,N,NO
pf_wall,Y,YES
pf_grnd,N,NO
pf_grnd,Y,YES
pf_drwep,N,NO
pf_drwep,Y,YES
pf_ptwep,N,NO
pf_ptwep,Y,YES
pf_baton,N,NO
pf_baton,Y,YES
pf_hcuff,N,NO
pf_hcuff,Y,YES
pf_pepsp,N,NO
pf_pepsp,Y,YES
pf_other,N,NO
pf_other,Y,YES
radio,N,NO
radio,Y,YES
ac_rept,N,NO
ac_rept,Y,YES
ac_inves,N,NO
ac_inves,Y,YES
rf_vcrim,N,NO
rf_vcrim,Y,YES
rf_othsw,N,NO
rf_othsw,Y,YES
ac_proxm,N,NO
ac_proxm,Y,YES
rf_attir,N,NO
rf_attir,Y,YES
cs_objcs,N,NO
cs_objcs,Y,YES
cs_descr,N,NO
cs_descr,Y,YES
cs_casng,N,NO
cs_casng,Y,YES
cs_lkout,N,NO
cs_lkout,Y,YES
rf_vcact,N,NO
rf_vcact,Y,YES
cs_cloth,N,NO
cs_cloth,Y,YES
cs_drgtr,N,NO
cs_drgtr,Y,YES
ac_evasv,N,NO
ac_evasv,Y,YES
ac_assoc,N,NO
ac_assoc,Y,YES
cs_furtv,N,NO
cs_furtv,Y,YES
rf_rfcmp,N,NO
rf_rfcmp,Y,YES
ac_cgdir,N,NO
ac_cgdir,Y,YES
rf_verbl,N,NO
rf_verbl,Y,YES
cs_vcrim,N,NO
cs_vcrim,Y,YES
cs_bulge,N,NO
cs_bulge,Y,YES
cs_other,N,NO
cs_other,Y,YES
ac_incid,N,NO
ac_incid,Y,YES
ac_time,N,NO
ac_time,Y,YES
rf_knowl,N,NO
rf_knowl,Y,YES
ac_stsnd,N,NO
ac_stsnd,Y,YES
ac_other,N,NO
ac_other,Y,YES
sb_hdobj,N,NO
sb_hdobj,Y,YES
sb_outln,N,NO
sb_outln,Y,YES
sb_admis,N,NO
sb_admis,Y,YES
sb_other,N,NO
sb_other,Y,YES
rf_furt,N,NO
rf_furt,Y,YES
rf_bulg,N,NO
rf_bulg,Y,YES
offverb, ,NOT LISTED
offverb,0,NO
offverb,V,VERBAL
offshld, ,NOT LISTED
offshld,0,NO
offshld,S,SHIELD
forceuse,,NOT LISTED
forceuse,DS,DEFENSE OF SELF
forceuse,DO,DEFENSE OF OTHER
forceuse,OR,OVERCOME RESISTENCE
forceuse,OT,OTHER
forceuse,SF,SUSPECTED FLIGHT
forceuse,SW,SUSPECTED WEAPON
sex, ,NOT LISTED
sex,F,FEMALE
sex,M,MALE
sex,Z,UNKNOWN
race, ,NOT LISTED
race,A,ASIAN/PACIFIC ISLANDER
race,B,BLACK
race,I,AMERICAN INDIAN/ALASKAN NATIVE
race,P,BLACK-HISPANIC
race,Q,WHITE-HISPANIC
race,W,WHITE
race,X,UNKNOWN
race,Z,OTHER
haircolr, ,NOT LISTED
haircolr,BA,BALD
haircolr,BK,BLACK
haircolr,BL,BLOND
haircolr,BR,BROWN
haircolr,DY,DYED
haircolr,FR,FROSTED
haircolr,GY,GRAY
haircolr,RD,RED
haircolr,SN,SANDY
haircolr,SP,SALT AND PEPPER
haircolr,WH,WHITE
haircolr,XX,UNKNOWN
haircolr,ZZ,OTHER
eyecolor, ,NOT LISTED
eyecolor,BK,BLACK
eyecolor,BL,BLUE
eyecolor,BR,BROWN
eyecolor,DF,TWO DIFFERENT
eyecolor,GR,GREEN
eyecolor,GY,GRAY
eyecolor,HA,HAZEL
eyecolor,MA,MAROON
eyecolor,PK,PINK
eyecolor,VI,VIOLET
eyecolor,XX,UNKNOWN
eyecolor,ZZ,OTHER
build, ,NOT LISTED
build,H,HEAVY
build,M,MEDIUM
build,T,THIN
build,U,MUSCULAR
build,Z,UNKNOWN
detailCM,1,ABANDONMENT OF A CHILD
detailCM,2,ABORTION
detailCM,3,ABSCONDING
detailCM,4,ADULTERY
detailCM,5,AGGRAVATED ASSAULT
detailCM,6,AGGRAVATED HARASSMENT
detailCM,7,AGGRAVATED SEXUAL ABUSE
detailCM,8,ARSON
detailCM,9,ASSAULT
detailCM,10,AUTO STRIPPING
detailCM,11,BIGAMY
detailCM,12,BRIBE RECEIVING
detailCM,13,BRIBERY
detailCM,14,BURGLARY
detailCM,15,COERCION
detailCM,16,COMPUTER TAMPERING
detailCM,17,COMPUTER TRESPASS
detailCM,18,COURSE OF SEXUAL CONDUCT
detailCM,19,CPSP
detailCM,20,CPW
detailCM,21,CREATING A HAZARD
detailCM,22,CRIMINAL CONTEMPT
detailCM,23,CRIMINAL MISCHIEF
detailCM,24,CRIMINAL POSSESION OF CONTROLLED SUBSTANCE
detailCM,25,CRIMINAL POSSESSION OF COMPUTER MATERIAL
detailCM,26,CRIMINAL POSSESSION OF FORGED INSTRUMENT
detailCM,27,CRIMINAL POSSESSION OF MARIHUANA
detailCM,28,CRIMINAL SALE OF CONTROLLED SUBSTANCE
detailCM,29,CRIMINAL SALE OF MARIHUANA
detailCM,30,CRIMINAL TAMPERING
detailCM,31,CRIMINAL TRESPASS
detailCM,32,CUSTODIAL INTERFERENCE
detailCM,33,EAVES DROPPING
detailCM,34,ENDANGER THE WELFARE OF A CHILD
detailCM,35,ESCAPE
detailCM,36,FALSIFY BUSINESS RECORDS
detailCM,37,FORGERY
detailCM,38,FORGERY OF A VIN
detailCM,39,FORTUNE TELLING
detailCM,40,FRAUD
detailCM,41,FRAUDULENT ACCOSTING
detailCM,42,FRAUDULENT MAKE ELECTRONIC ACCESS DEVICE
detailCM,43,FRAUDULENT OBTAINING A SIGNATURE
detailCM,44,GAMBLING
detailCM,45,GRAND LARCENY
detailCM,46,GRAND LARCENY AUTO
detailCM,47,HARASSMENT
detailCM,48,HAZING
detailCM,49,HINDERING PROSECUTION
detailCM,50,INCEST
detailCM,51,INSURANCE FRAUD
detailCM,52,ISSUE A FALSE CERTIFICATE
detailCM,53,ISSUE A FALSE FINANCIAL STATEMENT
detailCM,54,ISSUING ABORTION ARTICLES
detailCM,55,JOSTLING
detailCM,56,KIDNAPPING
detailCM,57,KILLING OR INJURING A POILCE ANIMAL
detailCM,58,LOITERING
detailCM,59,MAKING GRAFFITI
detailCM,60,MENACING
detailCM,61,MISAPPLICATION OF PROPERTY
detailCM,62,MURDER
detailCM,63,OBSCENITY
detailCM,64,OBSTRUCTING FIREFIGHTING OPERATIONS
detailCM,65,OBSTRUCTING GOVERNMENTAL ADMINISTRATION
detailCM,66,OFFERING A FALSE INSTRUMENT
detailCM,67,OFFICIAL MISCONDUCT
detailCM,68,PETIT LARCENY
detailCM,69,POSSESSION OF BURGLAR TOOLS
detailCM,70,POSSESSION OF EAVES DROPPING DEVICES
detailCM,71,POSSESSION OF GRAFFITI INSTRUMENTS
detailCM,72,PROHIBITED USE OF WEAPON
detailCM,73,PROMOTING SUICIDE
detailCM,74,PROSTITUTION
detailCM,75,PUBLIC DISPLAY OF OFFENSIVE SEXUAL MATERIAL
detailCM,76,PUBLIC LEWDNESS
detailCM,77,RAPE
detailCM,78,RECKLESS ENDANGERMENT
detailCM,79,RECKLESS ENDANGERMENT PROPERTY
detailCM,80,REFUSING TO AID A PEACE OR POLICE OFFICER
detailCM,81,RENT GOUGING
detailCM,82,RESISTING ARREST
detailCM,83,REWARD OFFICIAL MISCONDUCT
detailCM,84,RIOT
detailCM,85,ROBBERY
detailCM,86,SELF ABORTION
detailCM,87,SEXUAL ABUSE
detailCM,88,SEXUAL MISCONDUCT
detailCM,89,SEXUAL PERFORMANCE BY A CHILD
detailCM,90,SODOMY
detailCM,91,SUBSTITUTION OF CHILDREN
detailCM,92,TAMPERING WITH A PUBLIC RECORD
detailCM,93,TAMPERING WITH CONSUMER PRODUCT
detailCM,94,TAMPERING WITH PRIVATE COMMUNICATIONS
detailCM,95,TERRORISM
detailCM,96,THEFT OF SERVICES
detailCM,97,TRADEMARK COUNTERFEITING
detailCM,98,UNLAWFULLY DEALING WITH FIREWORKS
detailCM,99,UNAUTHORIZED RECORDING
detailCM,100,UNAUTHORIZED USE OF A VEHICLE
detailCM,101,UNAUTHORIZED USE OF COMPUTER
detailCM,102,UNLAWFUL ASSEMBLY
detailCM,103,UNLAWFUL DUPLICATION OF COMPUTER MATERIAL
detailCM,104,UNLAWFUL POSSESSION OF RADIO DEVICES
detailCM,105,"UNLAWFUL USE OF CREDIT CARD, DEBIT CARD"
detailCM,106,UNLAWFUL USE OF SECRET SCIENTIFIC MATERIAL
detailCM,107,UNLAWFUL WEARING A BODY VEST
detailCM,108,UNLAWFULL IMPRISONMENT
detailCM,109,UNLAWFULLY DEALING WITH A CHILD
detailCM,110,UNLAWFULLY USE SLUGS
detailCM,111,VEHICULAR ASSAULT
detailCM,112,OTHER
detailCM,113,FORCIBLE TOUCHING
